district,data,kind,name,year
Тункинский национальный парк,30.0,Птицы,Красная книга РФ,2022
"Национальный парк ""Чикой""",14.0,Птицы,Красная книга РФ,2022
Байкало-Ленский заповедник,39.0,Птицы,Красная книга СРФ,2022
Байкальский заповедник,70.0,Птицы,Красная книга СРФ,2022
Баргузинский заповедник,52.0,Птицы,Красная книга СРФ,2022
Джергинский заповедник,32.0,Птицы,Красная книга СРФ,2022
Сохондинский заповедник,49.0,Птицы,Красная книга СРФ,2022
Забайкальский национальный парк,51.0,Птицы,Красная книга СРФ,2022
Прибайкальский национальный парк,50.0,Птицы,Красная книга СРФ,2022
Тункинский национальный парк,89.0,Птицы,Красная книга СРФ,2022
"Национальный парк ""Чикой""",23.0,Птицы,Красная книга СРФ,2022
Байкало-Ленский заповедник,0.0,Птицы,Эндемичные виды,2022
Байкальский заповедник,0.0,Птицы,Эндемичные виды,2022
Баргузинский заповедник,0.0,Птицы,Эндемичные виды,2022
Джергинский заповедник,0.0,Птицы,Эндемичные виды,2022
Сохондинский заповедник,,Птицы,Эндемичные виды,2022
Забайкальский национальный парк,0.0,Птицы,Эндемичные виды,2022
Прибайкальский национальный парк,0.0,Птицы,Эндемичные виды,2022
Тункинский национальный парк,0.0,Птицы,Эндемичные виды,2022
"Национальный парк ""Чикой""",0.0,Птицы,Эндемичные виды,2022
Байкало-Ленский заповедник,52.0,Млекопитающие,Всего,2022
Байкальский заповедник,52.0,Млекопитающие,Всего,2022
Баргузинский заповедник,44.0,Млекопитающие,Всего,2022
Джергинский заповедник,48.0,Млекопитающие,Всего,2022
Сохондинский заповедник,49.0,Млекопитающие,Всего,2022
Забайкальский национальный парк,63.0,Млекопитающие,Всего,2022
Прибайкальский национальный парк,50.0,Млекопитающие,Всего,2022
Тункинский национальный парк,63.0,Млекопитающие,Всего,2022
"Национальный парк ""Чикой""",67.0,Млекопитающие,Всего,2022
Байкало-Ленский заповедник,1.0,Млекопитающие,Красная книга РФ,2022
Байкальский заповедник,1.0,Млекопитающие,Красная книга РФ,2022
Баргузинский заповедник,1.0,Млекопитающие,Красная книга РФ,2022
Джергинский заповедник,1.0,Млекопитающие,Красная книга РФ,2022
Сохондинский заповедник,0.0,Млекопитающие,Красная книга РФ,2022
Забайкальский национальный парк,1.0,Млекопитающие,Красная книга РФ,2022
Прибайкальский национальный парк,1.0,Млекопитающие,Красная книга РФ,2022
Тункинский национальный парк,5.0,Млекопитающие,Красная книга РФ,2022
"Национальный парк ""Чикой""",4.0,Млекопитающие,Красная книга РФ,2022
Байкало-Ленский заповедник,3.0,Млекопитающие,Красная книга СРФ,2022
Байкальский заповедник,5.0,Млекопитающие,Красная книга СРФ,2022
Баргузинский заповедник,4.0,Млекопитающие,Красная книга СРФ,2022
Джергинский заповедник,3.0,Млекопитающие,Красная книга СРФ,2022
Сохондинский заповедник,2.0,Млекопитающие,Красная книга СРФ,2022
Забайкальский национальный парк,7.0,Млекопитающие,Красная книга СРФ,2022
Прибайкальский национальный парк,3.0,Млекопитающие,Красная книга СРФ,2022
Тункинский национальный парк,11.0,Млекопитающие,Красная книга СРФ,2022
"Национальный парк ""Чикой""",8.0,Млекопитающие,Красная книга СРФ,2022
Байкало-Ленский заповедник,1.0,Млекопитающие,Эндемичные виды,2022
Байкальский заповедник,0.0,Млекопитающие,Эндемичные виды,2022
Баргузинский заповедник,1.0,Млекопитающие,Эндемичные виды,2022
Джергинский заповедник,1.0,Млекопитающие,Эндемичные виды,2022
Сохондинский заповедник,,Млекопитающие,Эндемичные виды,2022
Забайкальский национальный парк,2.0,Млекопитающие,Эндемичные виды,2022
Прибайкальский национальный парк,1.0,Млекопитающие,Эндемичные виды,2022
Тункинский национальный парк,0.0,Млекопитающие,Эндемичные виды,2022
"Национальный парк ""Чикой""",0.0,Млекопитающие,Эндемичные виды,2022
